date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2010/1/2 0:00,129,-16,-4,1020,SE,1.79,0,0
2010/1/2 8:00,120,-8,-6,1024,SE,12.51,0,0
2010/1/2 16:00,159,-9,-5,1026,SE,37.54,0,0
2010/1/3 0:00,90,-7,-6,1027,SE,58.56,4,0
2010/1/3 8:00,82,-10,-9,1024,SE,89.84,12,0
2010/1/3 16:00,86,-11,-9,1020,SE,124.71,22,0
2010/1/4 0:00,79,-14,-12,1023,NW,16.09,0,0
2010/1/4 8:00,26,-22,-13,1028,NW,80.9,0,0
2010/1/4 16:00,30,-21,-9,1031,NW,152.41,0,0
2010/1/5 0:00,30,-26,-17,1035,NW,201.58,0,0
2010/1/5 8:00,27,-26,-16,1035,NE,18.78,0,0
2010/1/5 16:00,50,-24,-11,1031,NW,3.58,0,0
2010/1/6 0:00,56,-25,-17,1033,NW,26.83,0,0
2010/1/6 8:00,20,-26,-14,1034,NE,39.33,0,0
2010/1/6 16:00,52,-22,-8,1033,NW,1.79,0,0
2010/1/7 0:00,127,-21,-16,1035,NW,8.95,0,0
2010/1/7 8:00,24,-24,-14,1036,NW,4.02,0,0
2010/1/7 16:00,57,-18,-8,1032,NW,26.38,0,0
2010/1/8 0:00,210,-21,-17,1031,NW,1.79,0,0
2010/1/8 8:00,66,-16,-12,1029,SE,0.89,0,0
2010/1/8 16:00,250,-16,-8,1025,cv,2.67,0,0
2010/1/9 0:00,165,-17,-13,1027,cv,0.89,0,0
2010/1/9 8:00,93,-18,-14,1028,NW,25.92,0,0
2010/1/9 16:00,41,-15,-4,1029,NE,38.89,0,0
2010/1/10 0:00,75,-15,-11,1033,NW,0.89,0,0
2010/1/10 8:00,27,-19,-14,1034,NW,22.35,0,0
2010/1/10 16:00,71,-14,-5,1031,NW,16.1,0,0
2010/1/11 0:00,23,-17,-6,1035,NW,60.36,0,0
2010/1/11 8:00,20,-22,-9,1036,NW,13.86,0,0
2010/1/11 16:00,13,-20,-5,1032,NW,71.97,0,0
2010/1/12 0:00,21,-22,-15,1031,cv,1.78,0,0
2010/1/12 8:00,16,-26,-14,1030,NW,16.98,0,0
2010/1/12 16:00,19,-23,-11,1030,NW,101.01,0,0
2010/1/13 0:00,15,-24,-12,1034,NW,169.86,0,0
2010/1/13 8:00,28,-25,-12,1032,NW,243.18,0,0
2010/1/13 16:00,47,-21,-5,1028,NW,299.06,0,0
2010/1/14 0:00,75,-18,-14,1026,NE,1.78,0,0
2010/1/14 8:00,87,-19,-15,1024,NW,15.64,0,0
2010/1/14 16:00,72,-16,-4,1023,cv,0.89,0,0
2010/1/15 0:00,36,-19,-7,1034,NE,13.86,0,0
2010/1/15 8:00,27,-19,-8,1038,NE,22.79,0,0
2010/1/15 16:00,37,-17,-2,1037,cv,2.23,0,0
2010/1/16 0:00,141,-15,-11,1036,cv,2.67,0,0
2010/1/16 8:00,102,-15,-11,1034,NW,6.26,0,0
2010/1/16 16:00,148,-11,-3,1030,cv,3.56,0,0
2010/1/17 0:00,263,-15,-12,1032,NW,5.81,0,0
2010/1/17 8:00,183,-13,-10,1030,NW,14.76,0,0
2010/1/17 16:00,177,-10,-1,1026,SE,0.89,0,0
2010/1/18 0:00,282,-12,-10,1028,cv,0.89,0,0
2010/1/18 8:00,147,-14,-11,1028,NW,5.81,0,0
2010/1/18 16:00,188,-8,1,1025,SE,0.89,0,0
2010/1/19 0:00,358,-4,-1,1025,NW,1.79,0,0
2010/1/19 8:00,297,-4,0,1021,cv,0.89,0,0
2010/1/19 16:00,336,-3,2,1018,cv,1.34,0,0
2010/1/20 0:00,364,-2,0,1021,NW,14.76,0,0
2010/1/20 8:00,44,-10,0,1028,NW,48.74,0,0
2010/1/20 16:00,28,-14,-1,1033,NW,5.81,0,0
2010/1/21 0:00,18,-20,-6,1038,NW,75.53,0,0
2010/1/21 8:00,18,-25,-8,1039,NW,147.04,0,0
2010/1/21 16:00,15,-21,-2,1033,NW,4.92,0,0
2010/1/22 0:00,35,-18,-6,1036,NW,7.6,0,0
2010/1/22 8:00,19,-19,-7,1036,NW,63.92,0,0
2010/1/22 16:00,30,-18,-2,1032,NW,133.64,0,0
2010/1/23 0:00,49,-17,-4,1033,NW,172.08,0,0
2010/1/23 8:00,24,-18,-6,1031,NW,25.93,0,0
2010/1/23 16:00,22,-19,3,1024,NW,86.3,0,0
2010/1/24 0:00,0,-15,-2,1022,NW,6.71,0,0
2010/1/24 8:00,0,-16,-13,1019,NE,1.79,0,0
2010/1/24 16:00,0,-20,5,1018,NW,40.67,0,0
2010/1/25 0:00,0,-25,-5,1031,NW,141.25,0,0
2010/1/25 8:00,0,-21,-6,1035,NW,201.59,0,0
2010/1/25 16:00,0,-24,2,1031,NW,257.47,0,0
2010/1/26 0:00,0,-16,-9,1030,cv,0.89,0,0
2010/1/26 8:00,0,-18,-13,1028,NE,1.79,0,0
2010/1/26 16:00,144,-17,1,1021,SE,4.92,0,0
2010/1/27 0:00,299,-11,-4,1019,NW,3.58,0,0
2010/1/27 8:00,147,-11,-3,1015,NE,3.13,0,0
2010/1/27 16:00,41,-14,7,1014,NW,32.2,0,0
2010/1/28 0:00,20,-13,-1,1023,NW,76.9,0,0
2010/1/28 8:00,18,-16,-3,1027,NW,12.97,0,0
2010/1/28 16:00,21,-24,1,1026,NW,82.24,0,0
2010/1/29 0:00,19,-22,-1,1027,NW,12.07,0,0
2010/1/29 8:00,16,-21,-1,1025,NW,9.83,0,0
2010/1/29 16:00,36,-23,6,1020,NW,72.42,0,0
2010/1/30 0:00,61,-18,0,1020,NW,109.96,0,0
2010/1/30 8:00,29,-15,-6,1021,cv,0.89,0,0
2010/1/30 16:00,32,-23,7,1017,NW,52.73,0,0
2010/1/31 0:00,85,-18,1,1021,NW,87.59,0,0
2010/1/31 8:00,22,-17,0,1025,NW,116.64,0,0
2010/1/31 16:00,19,-18,5,1024,SE,1.79,0,0
2010/2/1 0:00,65,-8,-3,1027,SE,15.65,0,0
2010/2/1 8:00,64,-10,-6,1028,NE,0.89,0,0
2010/2/1 16:00,49,-12,0,1026,SE,19.67,0,0
2010/2/2 0:00,62,-10,-7,1028,SE,42.92,0,0
2010/2/2 8:00,85,-10,-7,1029,NW,1.79,0,0
2010/2/2 16:00,35,-22,1,1027,cv,3.57,0,0
2010/2/3 0:00,69,-20,-8,1030,NW,8.05,0,0
2010/2/3 8:00,161,-18,-11,1030,cv,1.34,0,0
2010/2/3 16:00,23,-22,2,1026,NW,46.93,0,0
2010/2/4 0:00,103,-21,-7,1028,NW,1.79,0,0
2010/2/4 8:00,27,-17,-10,1028,NW,8.04,0,0
2010/2/4 16:00,64,-23,1,1024,NE,6.71,0,0
2010/2/5 0:00,48,-19,-4,1027,NE,4.92,0,0
2010/2/5 8:00,126,-19,-6,1030,NE,3.13,0,0
2010/2/5 16:00,71,-12,-1,1029,SE,3.58,0,0
2010/2/6 0:00,51,-11,-7,1033,SE,15.2,0,0
2010/2/6 8:00,64,-13,-7,1033,cv,0.89,0,0
2010/2/6 16:00,77,-12,-2,1028,SE,25.48,0,0
2010/2/7 0:00,64,-6,-5,1027,SE,46.94,6,0
2010/2/7 8:00,90,-6,-5,1024,NE,1.79,0,0
2010/2/7 16:00,141,-6,-2,1020,SE,3.58,0,0
2010/2/8 0:00,178,-6,-4,1021,cv,0.89,0,0
2010/2/8 8:00,136,-6,-4,1019,NW,8.05,0,0
2010/2/8 16:00,140,-4,4,1017,SE,4.92,0,0
2010/2/9 0:00,247,-5,-3,1021,NW,1.79,0,0
2010/2/9 8:00,193,-4,-3,1024,cv,2.23,0,0
2010/2/9 16:00,49,-12,4,1023,cv,0.89,0,0
2010/2/10 0:00,16,-20,0,1028,NE,16.09,0,0
2010/2/10 8:00,9,-23,-4,1032,NE,58.56,0,0
2010/2/10 16:00,12,-22,0,1030,NE,17.43,0,0
2010/2/11 0:00,11,-22,-3,1035,NE,67.04,0,0
2010/2/11 8:00,9,-22,-5,1037,NW,14.75,0,0
2010/2/11 16:00,18,-23,-2,1035,NW,4.02,0,0
2010/2/12 0:00,17,-22,-5,1038,NE,9.83,0,0
2010/2/12 8:00,14,-21,-9,1038,NW,17.43,0,0
2010/2/12 16:00,13,-23,-1,1032,NE,1.79,0,0
2010/2/13 0:00,108,-18,-8,1031,NW,3.13,0,0
2010/2/13 8:00,24,-17,-10,1031,NW,24.15,0,0
2010/2/13 16:00,51,-20,3,1026,SE,7.15,0,0
2010/2/14 0:00,351,-13,-7,1028,NE,0.89,0,0
2010/2/14 8:00,7,-20,-3,1033,NW,8.94,0,0
2010/2/14 16:00,15,-24,-2,1032,NE,17.88,0,0
2010/2/15 0:00,45,-21,-7,1036,NE,4.02,0,0
2010/2/15 8:00,16,-21,-9,1037,NW,7.15,0,0
2010/2/15 16:00,15,-26,0,1032,cv,2.68,0,0
2010/2/16 0:00,146,-17,-11,1034,NW,4.92,0,0
2010/2/16 8:00,26,-18,-11,1033,NW,9.83,0,0
